"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_attachment","tests","Wed Mar 12 19:40:06 GMT 2025","passed","Wed Mar 12 19:40:06 GMT 2025","","test_attachment","",""
"","667","test_github","tests","Wed Mar 12 19:40:06 GMT 2025","broken","Wed Mar 12 19:40:07 GMT 2025","","test_selene","",""
